parameter_no,dio_stores,tcb_stores,urara_stores,dsc_stores,lieto_stores,eminal_stores,sbc_stores
256,-,-,-,dsc_001,-,eminal_047/eminal_048,sbc_108/sbc_109
257,-,-,urara_002,-,-,eminal_049/eminal_050,sbc_110/sbc_111
258,-,-,-,-,-,eminal_042,sbc_087
259,-,-,-,-,-,-,-
260,-,-,-,-,-,eminal_041,sbc_090
261,-,-,-,-,lieto_003,eminal_044/eminal_045,sbc_101
262,-,-,urara_001,-,-,eminal_046,sbc_103/sbc_104/sbc_105/sbc_106
263,-,-,-,-,-,-,-
264,-,-,-,-,-,eminal_043,sbc_098/sbc_099
265,-,-,-,dsc_001,-,eminal_047/eminal_048,-
266,-,-,-,-,-,-,sbc_108
267,-,-,urara_001,-,-,eminal_046,sbc_103/sbc_104/sbc_105/sbc_106
268,-,-,-,-,-,-,-
269,-,-,-,-,-,eminal_043,sbc_098/sbc_099
270,-,-,-,-,-,-,-
271,-,-,-,-,-,-,sbc_100
272,-,-,-,-,-,-,-
273,-,-,-,-,-,-,sbc_094
274,-,-,-,-,-,-,sbc_035
275,-,-,-,-,-,eminal_024,sbc_034/sbc_037
276,-,-,-,-,-,-,-
277,-,-,-,-,-,eminal_023/eminal_024,sbc_034/sbc_036/sbc_037
278,-,-,-,-,-,eminal_024,sbc_034/sbc_037
279,-,-,-,-,-,eminal_025,sbc_033/sbc_038
280,-,-,-,-,-,-,-
281,-,-,-,-,lieto_001,eminal_030,sbc_054/sbc_055/sbc_056
282,-,-,-,-,-,-,sbc_052
283,-,-,-,-,-,eminal_029,sbc_051
284,-,-,-,-,lieto_001,eminal_030,sbc_053/sbc_054/sbc_055/sbc_056
285,-,-,-,-,-,eminal_008,sbc_010
286,-,-,-,-,-,eminal_010/eminal_011,sbc_011/sbc_012
287,-,-,-,-,-,eminal_010/eminal_011,sbc_011/sbc_012
288,-,-,-,-,-,eminal_009,sbc_009/sbc_016
289,-,-,-,-,-,eminal_062,sbc_122
290,-,-,-,-,-,eminal_063,sbc_123/sbc_124
291,-,-,-,-,-,-,-
292,-,-,-,-,-,eminal_022,sbc_025
293,-,-,-,-,-,eminal_022,sbc_025
294,-,-,-,-,-,-,sbc_022
295,-,-,-,-,-,eminal_021,sbc_023
296,-,-,-,-,-,-,sbc_077
297,-,-,-,-,-,eminal_039,sbc_084/sbc_085/sbc_095
298,-,-,-,-,-,-,sbc_073/sbc_076
299,-,-,-,-,-,eminal_048,sbc_085/sbc_088/sbc_096/sbc_097/sbc_109
300,-,-,-,-,-,-,sbc_085/sbc_096/sbc_097
301,-,-,-,-,lieto_002,eminal_040,sbc_079/sbc_081/sbc_082
302,-,-,-,-,-,-,sbc_075/sbc_076
303,-,-,-,-,-,-,sbc_066/sbc_070/sbc_071
304,-,-,-,-,-,eminal_051,sbc_065/sbc_068
305,-,-,-,-,-,-,sbc_070
306,-,-,-,-,-,eminal_053,sbc_061/sbc_063/sbc_064
307,-,-,-,-,-,eminal_053,sbc_063/sbc_064
308,-,-,-,-,-,-,sbc_059/sbc_094
309,-,-,-,-,-,-,sbc_059/sbc_062/sbc_070/sbc_092/sbc_094
310,-,-,-,-,-,eminal_054,sbc_113
311,-,-,-,-,-,eminal_026,sbc_027/sbc_028/sbc_029
312,-,-,-,-,-,eminal_013,sbc_013
313,-,-,-,-,-,-,-
314,-,-,-,-,-,eminal_036,sbc_040
315,-,-,-,-,-,-,-
316,-,-,-,-,-,eminal_056,sbc_112
317,-,-,-,-,-,eminal_060,-
318,-,-,-,-,-,-,-
319,-,-,-,-,-,-,sbc_018
320,-,-,-,-,-,eminal_014,sbc_015
321,-,-,-,-,-,-,-
322,-,-,-,-,-,-,-
323,-,-,-,-,-,eminal_031,sbc_046
324,-,-,-,-,-,-,-
325,-,-,-,-,-,-,-
326,-,-,-,-,-,eminal_055,sbc_114
327,-,-,-,-,-,-,-
328,-,-,-,-,-,eminal_006,-
329,-,-,-,-,-,-,-
330,-,-,-,-,-,-,-
331,-,-,-,-,-,-,sbc_043
332,-,-,-,-,-,eminal_057,sbc_116
333,-,-,-,-,-,eminal_028,sbc_050
334,-,-,-,-,-,-,-
335,-,-,-,-,-,eminal_028,sbc_050
336,-,-,-,-,-,eminal_059,sbc_118
337,-,-,-,-,-,-,-
338,-,-,-,-,-,-,-
339,-,-,-,-,-,-,-
340,-,-,-,-,-,-,-
341,-,-,-,-,-,-,-
342,-,-,-,-,-,-,-
343,-,-,-,-,-,-,-
